age,enroll,priorearn,educ,female,nonwhite,z,married,foundjob
46,1,0,12,1,1,1,0,1
24,1,3591,11,1,0,1,0,1
28,1,6000,9,0,1,1,1,1
23,0,2000,11,0,0,0,1,1
34,0,0,12,1,1,1,1,1
31,0,9476,10,1,0,1,0,1
21,1,750,12,0,1,1,0,1
20,1,4000,12,0,0,1,0,1
22,1,200,12,0,1,1,0,1
36,0,10000,13,0,0,1,1,1
41,1,0,12,1,0,1,1,1
24,1,10339,12,0,0,1,1,1
26,0,5000,12,0,0,1,0,1
27,0,150,12,1,0,1,0,1
20,1,0,12,1,1,1,0,1
35,0,1671,8,1,1,1,1,1
33,1,0,11,1,1,1,0,1
40,1,1569,12,1,0,1,1,1
23,1,11400,12,0,1,1,1,1
34,0,5000,13,0,0,0,0,1
22,0,3412,17,1,0,0,0,1
31,0,8000,14,0,0,1,0,1
28,0,12300,12,0,0,0,1,1
29,1,7751,12,1,0,1,0,1
45,1,1176,12,1,1,1,1,1
26,0,600,11,1,0,0,0,1
28,0,6634,12,1,0,0,0,1
33,0,0,10,1,1,0,0,1
20,0,2000,12,0,0,0,0,1
21,1,7000,12,0,0,1,1,1
21,0,3000,12,1,1,1,0,1
33,0,500,12,1,0,0,1,1
39,0,900,15,1,1,1,0,1
19,0,759,12,1,1,1,0,1
29,0,8460,12,1,0,0,0,1
23,0,2500,9,0,0,0,0,1
26,0,8020,12,1,0,0,1,1
29,0,13000,12,0,0,0,1,1
29,1,4500,12,1,1,1,0,1
26,1,0,9,1,0,1,0,1
20,0,819,12,0,0,1,1,1
29,1,4000,14,1,0,0,0,1
29,0,2041,13,1,1,0,0,1
29,1,0,9,1,0,1,0,1
20,0,0,12,1,1,1,0,1
21,1,3000,12,0,0,1,1,1
41,1,0,15,0,1,1,1,1
25,1,0,15,0,0,1,1,1
22,0,3500,12,1,1,0,0,1
22,0,5200,10,0,1,1,0,1
54,1,1900,10,1,1,1,1,1
33,1,10000,11,0,1,1,1,1
24,0,10000,13,1,1,0,0,1
24,0,0,12,1,0,1,1,1
21,0,1980,12,0,1,0,0,1
21,1,0,12,1,1,1,0,1
27,1,30,10,1,1,1,0,1
22,1,0,12,0,1,1,0,1
17,0,0,10,0,1,0,0,1
33,1,1200,14,0,0,1,0,1
25,0,2948,12,0,1,0,1,1
29,1,0,12,1,0,1,0,1
26,0,0,12,1,0,0,0,1
38,1,0,12,0,1,1,0,1
30,1,0,12,1,0,1,1,1
55,0,0,12,1,0,0,0,1
31,0,0,12,1,1,0,0,1
21,1,6500,11,0,0,1,0,1
16,1,0,10,0,1,1,0,1
24,1,0,11,0,1,1,0,1
37,1,3200,15,1,1,1,1,1
25,0,14102,12,0,0,0,1,1
21,0,161,12,1,1,0,0,1
23,0,0,12,1,1,1,1,1
38,0,0,8,0,1,0,0,1
21,0,139,12,0,0,1,0,1
22,1,11653,12,0,0,1,0,1
32,1,1000,14,0,1,1,0,1
20,1,3600,11,0,0,1,1,1
32,1,0,12,1,0,1,1,1
35,0,0,11,1,0,0,0,1
29,1,5280,16,0,1,1,1,1
34,1,0,9,1,0,1,0,1
36,0,1546,10,0,1,1,0,1
39,0,0,11,1,1,1,0,1
24,0,4550,12,0,1,1,0,1
37,1,4500,12,1,1,1,0,1
17,0,0,10,1,1,1,0,1
23,1,12088,13,0,0,1,0,1
21,0,2371,12,0,0,1,0,1
29,0,9000,12,1,0,0,0,1
22,0,500,9,1,0,1,1,1
20,1,4051,14,1,0,1,0,1
18,0,1000,11,0,0,0,0,1
47,1,7151,9,0,0,1,1,1
19,0,0,10,0,1,1,0,1
38,0,0,10,1,1,1,0,1
25,1,8440,12,1,0,1,0,1
29,0,100,11,0,1,0,0,1
25,0,11490,11,0,0,0,1,1
22,0,2500,12,0,0,1,0,1
23,0,0,11,1,0,1,1,1
20,0,5500,14,0,0,0,0,1
20,0,500,13,1,1,1,0,1
17,1,1172,11,1,0,1,0,1
22,1,6000,12,0,0,1,0,1
22,0,8000,13,0,0,1,1,1
20,0,6000,10,0,0,0,0,1
18,1,0,11,0,1,1,0,1
40,1,5200,12,0,1,1,1,1
39,0,422,11,1,0,1,0,1
37,0,3815,16,0,0,1,0,1
19,0,0,12,1,0,0,0,1
19,0,5000,12,1,0,1,0,1
31,1,2000,15,0,1,1,0,1
25,0,1000,12,1,0,0,0,1
35,1,0,15,1,1,1,0,1
28,0,15000,12,1,1,1,0,1
17,1,450,11,0,0,1,0,1
20,0,300,9,1,1,0,0,1
20,0,83,12,1,1,1,0,1
25,0,6000,14,1,0,1,0,1
20,1,0,9,1,1,1,0,1
17,0,0,10,0,1,1,0,1
19,0,7000,12,0,0,0,1,1
19,0,2000,10,0,0,0,0,1
32,0,10000,10,0,0,0,1,1
23,0,0,12,1,1,0,0,1
21,0,10360,12,0,1,1,0,1
43,0,5500,17,0,0,0,0,1
37,0,0,12,0,1,0,0,1
24,1,11000,12,0,0,1,0,1
25,1,2300,12,0,0,1,0,1
20,0,4000,14,1,0,0,0,1
24,0,450,13,1,0,0,0,1
29,0,1300,15,0,0,0,0,1
