asvab,annualearnings,privatecollege,dadcollege,momcollege
44451,20000,0,0,0
62806,85000,1,0,0
59270,50000,0,0,0
45900,12960,1,0,0
44217,,0,0,0
1355,,1,0,1
73429,32000,1,1,1
27471,,1,0,1
56708,80000,1,0,1
69940,42666.668,0,0,0
78892,96666.664,1,0,0
58177,65333.332,0,0,0
44306,,0,0,0
34516,,0,0,1
83765,89333.336,0,1,1
33091,70000,0,0,1
89334,,0,1,1
83789,229778.33,1,1,1
94833,,0,1,1
60424,66000,1,1,1
39585,98333.336,0,0,1
12233,35666.668,0,0,0
99595,258992,0,1,1
92692,258992,0,1,1
79949,91000,1,0,1
40421,201175,1,0,1
98687,235884,0,1,1
90292,108333.34,1,1,1
95254,,1,1,0
85828,99666.664,0,1,0
52600,46333.332,1,1,1
80773,20000,0,1,1
62197,60000,0,0,0
87923,,0,0,0
29631,71666.664,0,1,1
62122,92666.664,1,0,0
43085,87500,0,0,0
58782,73666.664,0,1,1
45199,88333.336,0,1,1
89776,104900,1,1,0
86419,74666.664,1,1,1
56495,93333.336,1,1,0
42366,50666.668,1,1,0
53011,115000,1,0,0
18085,43000,0,0,1
36454,95000,0,0,0
72692,44666.668,0,0,1
64580,229778.33,1,0,0
73369,67666.664,0,0,0
98451,,0,1,0
71838,,0,1,1
36685,,1,0,1
61751,60000,1,1,0
98368,86666.664,1,0,0
48416,70333.336,1,1,1
23765,106666.66,0,0,0
61481,52000,0,0,0
47394,25000,0,0,0
20750,,0,0,0
95143,47500,0,1,1
26658,30000,0,0,1
85233,85000,0,1,1
60488,46333.332,0,0,0
66370,,0,0,0
46187,52500,0,1,1
82821,,1,1,1
30740,13500,1,0,0
68666,70000,1,0,0
94974,92000,1,0,1
6538,81333.336,1,0,1
44976,,0,1,1
52227,49266.668,1,1,0
69845,150000,0,1,0
93560,,0,1,1
26653,63000,0,0,0
95302,101000,1,0,0
92687,130000,0,1,1
91290,,0,1,1
99648,,0,1,1
91323,78333.336,0,1,1
82274,95333.336,0,1,1
51465,51000,0,0,0
74836,,1,0,1
41102,53333.332,0,1,1
28983,,0,0,0
30224,86000,0,0,0
95262,72666.664,1,1,1
82822,65666.664,0,0,0
90977,,1,1,1
98373,43666.668,0,0,1
51088,65000,0,1,1
97225,96000,0,0,0
72046,,0,1,0
70220,74000,1,1,0
29055,25000,0,0,1
49154,100000,0,1,1
75099,105333.34,1,1,1
41546,10500,1,1,0
13143,47500,1,1,1
44322,58333.332,0,0,1
18049,,1,0,0
73176,107666.66,1,0,1
47503,87500,0,1,1
99678,,1,1,1
99018,152817,0,1,1
69945,71000,1,1,1
96022,258992,1,0,0
91394,30666.666,0,1,1
87047,113333.34,1,0,0
97502,78333.336,0,1,1
98909,,1,1,1
54970,,1,1,0
96315,18333.334,0,1,1
26572,45000,0,0,1
73141,54333.332,0,1,1
95668,,0,1,1
93038,65333.332,0,1,1
92824,100000,1,1,1
73102,126666.66,1,1,0
76002,35000,1,1,1
13250,105000,0,0,0
66939,52000,0,1,1
66257,,1,1,1
87904,217030.67,0,1,0
